19 8 25 0
51 28 29 1
14 1 38 1
31 30 3 1
69 25 59 2
3 17 4 1
3 12 14 0
44 19 10 2
34 20 10 1
47 3 46 0
30 36 31 1
12 4 6 1
26 12 3 0
32 12 34 1
56 63 5 1
57 63 68 2
17 2 14 1
8 17 4 2
8 1 14 1
68 37 58 2
55 10 64 1
18 38 3 1
60 4 56 0
5 1 3 1
16 1 8 1
38 9 29 2
33 37 58 2
35 37 58 2
10 0 5 1
2 1 8 1
11 31 6 1
21 4 37 2
30 12 34 1
11 12 14 1
17 8 15 1
78 26 4 2
33 32 10 1
43 0 6 1
12 18 5 1
9 9 4 1
0 8 11 2
18 8 40 1
2 0 7 1
0 25 29 2
62 29 22 2
32 36 37 1
75 4 6 2
12 12 4 0
57 25 20 1
11 7 66 1
2 0 1 1
51 9 5 0
13 18 7 2
17 8 18 1
6 8 38 1
11 6 37 1
34 29 58 2
12 0 3 0
6 38 3 0
7 1 9 1
5 8 15 1
20 18 7 1
17 7 67 1
17 1 65 1
43 63 68 1
46 50 4 2
13 17 2 1
2 1 38 1
56 32 39 0
5 8 6 2
16 42 5 2
72 25 6 2
28 9 29 1
40 26 27 2
14 7 67 1
8 6 65 1
44 25 20 2
48 2 29 2
18 9 4 1
3 8 6 2
4 1 65 1
18 8 24 1
54 63 68 2
21 1 15 1
12 12 3 1
34 29 59 2
59 19 22 1
17 1 11 1
84 4 56 1
44 0 6 2
68 63 5 2
51 3 5 1
50 6 64 1
63 52 4 2
0 41 5 1
19 18 7 2
50 9 2 2
28 12 29 1
14 2 4 1
84 52 62 2
26 4 37 2
0 31 6 2
25 2 37 2
81 3 46 2
64 4 56 1
1 40 5 1
78 10 54 2
72 8 41 1
16 15 14 1
0 17 3 1
56 25 20 0
73 4 6 2
9 9 5 0
20 0 5 1
32 5 6 1
7 0 2 1
16 8 6 2
19 42 5 0
60 29 31 2
25 1 12 2
3 7 67 1
1 3 48 1
16 8 40 2
22 2 37 2
4 12 3 2
3 8 2 1
83 52 62 1
35 19 20 1
30 9 5 0
3 1 67 1
38 10 54 2
37 63 55 2
67 29 31 1
16 13 31 0
18 1 18 2
57 25 29 2
11 43 5 1
15 0 4 1
24 3 45 0
20 1 8 1
5 0 5 1
56 63 68 0
7 17 6 1
19 4 65 1
59 19 21 1
8 15 14 1
9 1 11 2
10 0 3 1
13 9 5 0
42 9 20 0
54 26 27 2
14 0 3 1
19 12 4 2
7 2 43 1
14 1 65 1
19 8 7 2
53 9 29 1
26 36 37 2
38 51 29 2
26 36 7 2
37 32 5 1
12 8 38 2
32 36 31 1
26 2 34 2
2 38 4 1
84 29 53 1
7 6 37 2
60 29 56 2
57 10 34 1
17 0 3 1
31 13 31 1
35 24 59 1
33 19 23 0
22 4 5 1
18 8 11 1
65 29 56 2
8 31 6 1
75 41 5 2
51 4 5 1
50 30 31 2
69 51 68 2
12 6 65 1
5 12 14 1
18 0 4 1
34 25 29 2
13 1 18 1
8 0 2 1
6 2 3 0
53 29 55 1
0 12 4 2
77 4 5 2
9 7 66 1
28 29 31 1
33 10 34 0
29 12 29 0
58 32 5 2
9 41 6 1
1 2 66 2
50 2 34 2
28 1 30 1
32 2 29 0
20 5 14 2
20 2 38 0
16 9 2 2
45 1 13 1
43 55 23 1
17 5 14 1
11 8 7 1
47 13 31 1
9 15 14 0
5 2 37 1
21 18 7 1
77 1 12 2
16 1 10 1
56 26 4 2
6 43 5 1
55 20 10 1
44 10 35 1
57 10 54 1
16 2 4 1
22 3 67 1
34 32 6 1
57 55 23 1
32 12 4 1
75 42 5 0
5 1 15 1
25 2 29 1
3 1 12 1
10 18 5 2
6 2 66 2
16 3 45 1
4 0 6 1
28 50 31 2
47 3 47 1
12 26 4 2
32 9 13 1
34 19 23 2
8 1 9 0
7 1 15 1
19 1 38 2
27 50 4 1
36 24 59 1
35 63 55 2
56 51 29 1
0 9 20 1
7 12 4 2
21 9 4 2
27 12 4 2
3 43 5 1
1 12 4 1
33 9 20 0
62 19 4 2
27 9 2 1
23 11 3 0
18 5 6 2
24 1 8 2
13 8 18 1
17 8 25 0
75 27 6 2
0 26 27 2
56 51 68 0
18 9 5 0
34 32 5 0
11 0 4 1
10 12 3 1
1 2 38 2
60 29 22 0
13 17 4 1
70 55 23 1
54 51 29 2
19 1 8 1
32 9 4 1
28 1 3 2
48 30 6 1
43 3 47 1
66 29 6 1
42 33 10 1
45 1 11 1
35 29 54 1
5 2 66 1
77 3 45 0
5 40 3 1
32 9 2 1
40 1 10 2
83 29 57 2
55 29 59 1
11 9 5 1
1 1 3 1
3 9 4 1
37 61 4 2
32 30 3 1
73 8 25 2
5 5 6 1
51 1 13 1
35 10 35 1
9 0 6 2
25 50 4 2
41 32 6 2
19 41 5 0
75 25 29 2
55 10 35 2
36 28 29 0
18 7 66 1
72 41 6 1
22 9 4 0
58 55 23 1
35 32 5 2
31 1 9 0
39 0 6 2
12 41 5 2
9 17 4 2
50 1 13 1
5 18 5 1
26 5 6 1
84 19 21 2
70 32 6 1
5 8 6 2
0 1 10 1
19 0 6 1
13 4 65 2
5 3 67 1
13 3 67 1
22 5 67 1
58 29 54 2
19 26 27 2
79 3 48 1
18 0 2 1
16 17 2 2
11 1 8 1
32 1 9 1
1 43 5 1
22 8 15 2
75 1 25 2
5 2 4 1
4 5 14 1
11 0 2 1
13 9 4 0
21 0 4 1
8 40 3 1
0 15 14 1
72 8 11 2
9 5 6 1
83 29 52 1
43 29 16 2
35 0 6 1
3 17 3 0
56 20 10 0
10 3 5 1
68 0 6 1
78 9 29 2
74 25 5 2
27 12 34 0
21 1 18 1
25 2 34 1
15 17 3 1
75 26 27 2
12 18 7 1
37 51 29 1
0 2 43 1
36 51 68 1
1 40 4 1
38 63 68 2
21 2 66 1
18 25 6 2
80 3 48 1
4 4 66 1
46 1 11 1
7 8 7 2
4 7 66 1
6 5 14 1
66 52 4 2
83 28 29 1
6 4 65 1
41 28 29 1
33 9 29 0
16 6 37 1
37 55 23 1
57 26 27 2
19 8 39 2
22 6 65 0
46 3 46 2
5 12 5 1
19 17 2 1
46 41 5 1
27 9 29 1
0 8 41 1
32 2 37 1
75 8 6 2
1 5 67 2
53 25 59 1
59 53 60 1
75 42 5 1
8 9 4 0
77 41 5 1
16 1 3 1
14 17 2 2
0 7 65 1
25 30 13 1
55 29 58 1
56 19 10 2
8 38 4 2
58 20 10 1
51 30 6 1
47 5 6 1
60 19 22 2
34 9 20 1
43 19 20 1
10 43 4 2
56 28 29 0
51 9 13 0
0 6 37 2
44 51 29 2
53 51 68 2
67 29 56 1
31 36 37 1
